gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000138755,28340.8332788496,-11.8248153060345,0.21832635508966,0,0
ENSG00000169248,92860.7541864431,-7.14279112051437,0.132604616036158,0,0
ENSG00000156587,9632.972774199,-3.41858861597356,0.0852602646759764,0,0
ENSG00000140105,138098.541747828,-6.0872424905394,0.105134004779063,0,0
ENSG00000168062,7548.64137642109,-4.92701703898812,0.1341526238556,5.0570039661695e-297,3.00537745709453e-293
ENSG00000240065,6589.19201752548,-3.21842405196144,0.0888818455712511,5.75011364852296e-289,2.847743784431e-285
ENSG00000002549,26284.4148063086,-4.11397071651232,0.114362079860738,2.85025430433985e-285,1.20993295219227e-281
ENSG00000117228,17567.6314581035,-5.45375232054085,0.153409600788987,1.59968716320511e-278,5.94183800682997e-275
ENSG00000119922,5306.20475202082,-6.72709534682272,0.190859892773795,2.058157931677e-274,6.79535143775356e-271
ENSG00000162654,34020.6813201166,-7.38862772027121,0.21437179981654,2.75032004802654e-263,8.17257602271087e-260
ENSG00000120217,3516.66161310427,-7.60262086836543,0.22093922033682,9.91688711026839e-263,2.67891182256023e-259
ENSG00000137959,1051.47786307271,-8.71159527985185,0.256871624614761,6.43528276278131e-257,1.59353689413372e-253
ENSG00000136854,4295.01974890622,-3.03535736416162,0.0890973597915112,3.47880169959606e-256,7.95173788488438e-253
ENSG00000141574,25920.6178695915,-5.76347155904569,0.170117019670601,2.29340136947651e-253,4.86774440671389e-250
ENSG00000168394,32612.4449305421,-3.08963835689057,0.0916353155429896,4.93905680096091e-251,9.78427152270356e-248
ENSG00000149131,3364.53043541618,-11.7668089698931,0.353663851175055,2.23929956374914e-245,4.15879915855036e-242
ENSG00000169245,65646.5133031014,-9.06724888938534,0.274236129014641,7.44903320189743e-245,1.30204718584931e-241
ENSG00000111335,4883.50065488806,-6.72667796753614,0.205384236977365,1.50392423880274e-237,2.48272826422353e-234
ENSG00000198736,2267.55896816123,-3.09458969703231,0.0989455157358968,1.49162184903656e-216,2.33281806548007e-213
ENSG00000124256,2143.76789165757,-6.95476509812082,0.223938656553428,3.02317415783094e-214,4.49168100499732e-211
ENSG00000185338,2312.94998472316,-6.38006468591225,0.205990368478437,1.16333962574788e-212,1.64612557043325e-209
ENSG00000116663,723.258756632728,-3.20211103510691,0.103764191295261,5.7509525139885e-211,7.76770699787128e-208
ENSG00000137752,4378.24495351599,-4.61868209648679,0.152101127705859,2.51981392654683e-204,3.25549003597127e-201
ENSG00000185885,9840.7364571858,-5.1192463541055,0.168702387857853,5.68135808803574e-204,7.03423148274925e-201
ENSG00000154451,9095.13187696313,-15.061222183301,0.499637948737621,2.11471144273879e-201,2.51354602083933e-198
ENSG00000154122,4063.62622537928,2.04888095288561,0.0683010233820022,1.03066618697948e-198,1.17793252869597e-195
ENSG00000005059,1611.66565082893,-3.65234990355311,0.129195423536683,9.61101629353135e-178,1.05774573763809e-174
ENSG00000144837,1094.32033349003,-8.33717521812689,0.302354491937083,1.11215843281197e-171,1.1802781368217e-168
ENSG00000125347,25890.9247031209,-3.40395993252613,0.12326182502654,8.97165070523377e-170,9.19284830020764e-167
ENSG00000140511,3944.74466822305,-5.88305970208955,0.213750511551205,1.44934184477606e-168,1.43557309725069e-165
ENSG00000007171,37058.647929336,-7.4433666400889,0.274130241007089,2.12425367052512e-165,2.03619992966626e-162
ENSG00000162645,33987.3756593168,-4.55553483831329,0.167987736134425,9.38969593799299e-164,8.71921296242067e-161
ENSG00000131203,87738.9368981303,-11.6177448586407,0.4307111340051,4.17892652738838e-163,3.76293338670744e-160
ENSG00000133106,4137.90310914292,-6.13034293229516,0.232454022618722,3.53021891934623e-155,3.08530750554039e-152
ENSG00000159403,1693.87347798919,-6.01970861965604,0.23184302302602,1.71778368332217e-150,1.45839834714052e-147
ENSG00000214357,1964.81118666435,2.93640539759922,0.115475486156482,2.1233408336683e-144,1.75264091312371e-141
ENSG00000242574,1149.3067498855,-4.71630663904053,0.185686666114233,4.30866790311381e-144,3.46032612813586e-141
ENSG00000204257,2559.58094853149,-3.25581435890767,0.130153390071386,5.55188788069349e-140,4.34143022038966e-137
ENSG00000130303,3060.97640022517,-5.197539232244,0.207883034172743,1.10798331366407e-139,8.44198055526358e-137
ENSG00000198959,23177.1142528667,-5.62456844149829,0.227207490056878,4.86717785504648e-137,3.61570474906766e-134
ENSG00000291237,33187.7029099033,-3.47515975449397,0.140737541786348,1.5646719529073e-136,1.1340055385522e-133
ENSG00000068079,3801.93730624276,-2.46160811407184,0.0997632013585473,7.85417307941913e-136,5.55682745368903e-133
ENSG00000182326,1707.80131658803,-6.99207756249618,0.28490087863393,1.52854664116556e-135,1.05629682423801e-132
ENSG00000175318,2483.38022751294,-5.9661577412366,0.242902780287783,4.63893176148143e-135,3.13286039300956e-132
ENSG00000117115,6838.31138888414,5.02940823222605,0.205057464691058,1.42387283621952e-134,9.40230696183624e-132
ENSG00000135899,1970.37210013527,-3.40785381844426,0.139443143964205,8.16103543667703e-134,5.27185147827952e-131
ENSG00000132109,2198.09554553943,-1.56307917507017,0.0646900982408209,1.00778821937695e-129,6.37158019974174e-127
