gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000117228,17567.6314581035,-5.93125746017688,0.151112215188893,0,0
ENSG00000162654,34020.6813201166,-11.3552284313154,0.226649651247545,0,0
ENSG00000138755,28340.8332788496,-10.737738931417,0.227674617589865,0,0
ENSG00000169245,65646.5133031014,-11.1301794692626,0.288224236951521,0,0
ENSG00000169248,92860.7541864431,-8.75624991925493,0.131361583028454,0,0
ENSG00000019582,66555.0895366172,-4.99513170034138,0.131161049815977,0,0
ENSG00000240065,6589.19201752548,-4.26291623382884,0.0880443723990045,0,0
ENSG00000168394,32612.4449305421,-4.19311571965176,0.0900383830639563,0,0
ENSG00000168062,7548.64137642109,-5.22266297819029,0.13202945056058,0,0
ENSG00000156587,9632.972774199,-4.15362406609856,0.0838657858204694,0,0
ENSG00000111335,4883.50065488806,-7.94439791030378,0.208455562478694,0,0
ENSG00000140105,138098.541747828,-6.65968795834421,0.103217954275206,0,0
ENSG00000185338,2312.94998472316,-8.6217195581536,0.227607899266661,0,0
ENSG00000141574,25920.6178695915,-6.29842409062867,0.167220155478369,0,0
ENSG00000090339,21622.3997595192,-7.41620467953433,0.207111880763453,4.97808084379333e-283,9.58579247280844e-280
ENSG00000120217,3516.66161310427,-8.13253767293322,0.22956576877376,2.32226946851273e-277,4.19227695803261e-274
ENSG00000125347,25890.9247031209,-4.28118533278474,0.120987418419952,1.98854307450397e-276,3.37865165670428e-273
ENSG00000007171,37058.647929336,-9.45285115433647,0.273769891021204,6.54540694952279e-264,1.05031963516676e-260
ENSG00000242574,1149.3067498855,-8.54408305995437,0.247507679529351,1.05765711634144e-263,1.60786148149506e-260
ENSG00000198959,23177.1142528667,-7.67050979713937,0.224504410060308,3.65875306228369e-258,5.2839711725501e-255
ENSG00000137752,4378.24495351599,-5.09634063593946,0.150564726498954,4.78255836594722e-253,6.57806742104854e-250
ENSG00000002549,26284.4148063086,-3.78013751370669,0.112277237718955,1.24773536348981e-250,1.63816310177453e-247
ENSG00000119922,5306.20475202082,-6.30774330826129,0.187319436238935,1.93772747320872e-250,2.43344871026786e-247
ENSG00000124256,2143.76789165757,-7.4078338495387,0.223627236170208,7.55417863166632e-243,9.09145398321042e-240
ENSG00000204257,2559.58094853149,-4.27718391022896,0.129112485370954,8.24775620710868e-243,9.52912761144508e-240
ENSG00000121858,14622.0671712045,-3.46042757215766,0.107025233173796,2.37538471361212e-231,2.63886969492202e-228
ENSG00000006210,18048.0906334874,-5.0531578390553,0.157961312480424,1.80546539534992e-226,1.93144675849212e-223
ENSG00000185885,9840.7364571858,-5.2744752678923,0.165459412057808,7.51108032217274e-225,7.74821585805848e-222
ENSG00000131203,87738.9368981303,-15.5031520896571,0.489185473692068,7.153681878686e-223,7.12506715117126e-220
ENSG00000133106,4137.90310914292,-7.23771802475829,0.231613418127821,1.58597657040009e-216,1.5269782419812e-213
ENSG00000149131,3364.53043541618,-12.1440213528742,0.392098254323711,5.04903330539191e-213,4.70439606428838e-210
ENSG00000162645,33987.3756593168,-5.0523581361192,0.164852242536149,3.37000087724598e-208,3.04184704182415e-205
ENSG00000010030,1870.09253913515,-4.81529432819557,0.160636185576079,1.96737038699498e-199,1.7219856441807e-196
ENSG00000231389,4709.88048679569,-9.23863742344175,0.312603364673472,1.28697010327508e-194,1.09331895479404e-191
ENSG00000166278,610.112345550261,-4.95555790182043,0.167491024326863,2.42458680428558e-194,2.00090757871385e-191
ENSG00000116663,723.258756632728,-3.00737938401977,0.103284375927934,4.22217367028603e-188,3.38759067479283e-185
ENSG00000137959,1051.47786307271,-9.87970557927167,0.344039181285518,5.31130937142091e-184,4.14626648335464e-181
ENSG00000185880,2598.14037530383,-3.25332656125266,0.115284455551564,4.32741869802959e-177,3.28929372826018e-174
ENSG00000115415,30433.0861237505,-3.81817617935029,0.135538071841925,9.61625079558298e-177,7.12194328152869e-174
ENSG00000140511,3944.74466822305,-6.01125004579464,0.215055053797276,9.50572114962393e-174,6.86408124214344e-171
ENSG00000135899,1970.37210013527,-3.82158698581978,0.136941425944912,1.5788689020159e-173,1.11229388697139e-170
ENSG00000198736,2267.55896816123,-2.70785944928236,0.0970715214250341,1.05287488067539e-172,7.2407709651019e-170
ENSG00000132109,2198.09554553943,-1.7620389017266,0.0634407493134328,7.75804295254029e-171,5.2112398288645e-168
ENSG00000130303,3060.97640022517,-5.69412921019153,0.205893630224357,3.74319664052977e-170,2.45723844920595e-167
ENSG00000008517,94465.5390949891,-3.43767569740474,0.126095876409981,1.19624153252987e-165,7.67827565013174e-163
ENSG00000234518,337.333389256728,-3.87102429125265,0.142259067470839,3.34813788915415e-165,2.10233945196366e-162
ENSG00000136854,4295.01974890622,-2.35751715824644,0.0870864307759652,1.52324993046879e-162,9.36118106205544e-160
ENSG00000067066,5567.04259379299,-2.37392131948418,0.0882250064851316,1.22310280680526e-160,7.36002113995068e-158
ENSG00000204267,6738.44873228671,-3.89556349622814,0.145453047869702,3.58928719136694e-160,2.1157749231723e-157
ENSG00000100342,6533.31829650873,-4.40808385086759,0.167175034151203,2.33045593272516e-155,1.34625778321667e-152
ENSG00000068079,3801.93730624276,-2.50904330402491,0.0980104653040201,8.02056871067347e-146,4.54247267919789e-143
ENSG00000005059,1611.66565082893,-3.21192326722874,0.126057118494706,4.56702412824903e-145,2.53680624846817e-142
ENSG00000154122,4063.62622537928,1.69666720464006,0.0664413444316005,5.82680713954539e-145,3.17549995129489e-142
ENSG00000179583,8501.73809055994,-7.14052869997398,0.28076229202357,8.19513202808476e-145,4.38348506480001e-142
ENSG00000013374,4922.16069823848,-1.88412696133172,0.0743707735426131,1.40463723174608e-142,7.37664396395523e-140
ENSG00000138496,7986.0395119966,-4.55006707449672,0.18120114044214,3.03840090557978e-141,1.56716378137083e-138
ENSG00000142089,11743.8654241993,-3.7435037573305,0.149969277825507,1.19116381001159e-139,6.03606587515347e-137
ENSG00000025708,10079.6220618964,-4.79444061749829,0.192746042969985,1.35024762414441e-138,6.72423316823916e-136
ENSG00000177409,3883.15303884444,-4.95608986672156,0.199599480235863,4.6109121870444e-138,2.2573150442473e-135
ENSG00000243649,1261.82707486133,-2.47114384108771,0.100950597240314,1.40228647751388e-133,6.75060710275183e-131
ENSG00000159871,482.75074379416,-3.85379940669255,0.158321229981383,4.99548058512126e-133,2.36540100361709e-130
ENSG00000152778,1378.38842859452,-2.45934378100242,0.101566738222328,9.12614792860173e-131,4.25160736725375e-128
ENSG00000175318,2483.38022751294,-5.6326419313016,0.234170660374963,1.1737053436501e-129,5.38115954698246e-127
ENSG00000134470,1591.93107256741,-2.41576804480637,0.100364325271273,3.24201540324898e-129,1.4631620766788e-126
ENSG00000154451,9095.13187696313,-14.8803249333338,0.621539544409015,4.19063951841192e-129,1.86219125922785e-126
ENSG00000137496,5618.4303793161,-5.10656829531212,0.213255372896777,1.23812151354147e-128,5.41846996926241e-126
ENSG00000204287,10641.5459653764,-8.93957934499441,0.375937614375557,1.26211604735353e-127,5.44103879279993e-125
ENSG00000144837,1094.32033349003,-8.12597520847908,0.341632319926907,1.59394419773443e-127,6.7705123834355e-125
ENSG00000163840,6138.36072427595,-2.26831722411999,0.0950248396066207,5.0641291539716e-127,2.1198884997582e-124
ENSG00000140853,7096.36734839165,-3.81177791004563,0.161307257506165,1.34390501418351e-125,5.54533606138237e-123
ENSG00000111331,12734.0604496266,-4.14919830433696,0.177867385177617,1.55907879312426e-122,6.34259603670439e-120
ENSG00000198785,141.663719386308,-5.04312004440394,0.219960457214437,2.85407064091249e-118,1.14495800544606e-115
ENSG00000105835,11799.3850714056,-2.05104774631962,0.0896965458524974,1.05893549526303e-116,4.18990312947636e-114
ENSG00000157601,7753.29681995543,-3.55956331019262,0.158209259874164,3.72441755136913e-114,1.45373076423981e-111
ENSG00000110446,1264.60677729369,-3.47204829977072,0.156342315319903,2.78518618246939e-111,1.07263090259261e-108
ENSG00000113924,1474.68458594595,1.96934046260781,0.0900543587286928,5.58584948163818e-107,2.12291679510049e-104
ENSG00000204397,445.549428552373,-4.31424756387964,0.198651845988081,9.73384307445386e-107,3.65132887483799e-104
ENSG00000137965,860.3928038817,-6.26984813937647,0.290228640713583,2.27779927234046e-105,8.43486592080538e-103
ENSG00000119917,6897.02664634616,-5.86553412790266,0.273492297495929,7.43750217466609e-104,2.71930142801336e-101
ENSG00000189325,3199.32368902712,-3.84296478020668,0.180131726120594,3.86453096814686e-103,1.39528890604942e-100
ENSG00000115267,3444.98496663576,-2.98992610400589,0.139906807520425,5.03811494988213e-103,1.79655447175797e-100
ENSG00000168961,9711.33937173993,-1.73469216766796,0.0820935128635622,3.34595964275125e-100,1.17859388196618e-97
ENSG00000041880,2887.79780343337,-2.11459567398512,0.102022880244594,1.9892231882597e-96,6.92249669514374e-94
ENSG00000136514,483.26336152209,-2.14293666933795,0.103512925898488,3.21765118970423e-96,1.10641234480258e-93
ENSG00000101347,2906.37785565937,-3.89838398559115,0.191236240774945,1.56189486708783e-94,5.30750251070174e-92
ENSG00000134326,1685.53407699086,-5.41471866231281,0.266578683888717,1.41479554703938e-93,4.75173890473085e-91
ENSG00000134321,2241.18032962036,-7.15945357217911,0.353282661407838,1.88058234458866e-93,6.24353338403434e-91
ENSG00000108828,4070.42786603807,1.64136175166004,0.0807219073981246,4.05055818755775e-93,1.32950366692521e-90
ENSG00000108387,216.300882895499,-6.83026948789093,0.341828946760452,7.52371808391727e-91,2.44174239478502e-88
ENSG00000162614,463.149019036283,-6.50581850481138,0.32746446343305,9.23580588162034e-90,2.96407796760802e-87
ENSG00000133321,3139.26962485917,-4.15209243294947,0.209838791246577,2.56656599751431e-89,8.14644970024213e-87
ENSG00000204592,39238.4826581405,-2.72176974810441,0.137031595363076,2.91182270340543e-89,9.141857278822e-87
ENSG00000129667,8530.22110315381,-3.00666177421656,0.153636724365957,5.46352937147757e-87,1.69686647705116e-84
ENSG00000256262,104.375446335877,-3.44582567470468,0.177078965665095,2.43278640088894e-86,7.47538323439108e-84
ENSG00000128203,293.551658692736,-1.95362586865716,0.100262850745671,1.55217980678693e-85,4.71928016202459e-83
ENSG00000204614,1503.04186510723,-6.99963468106617,0.366246735018942,1.65736112631028e-83,4.98658528878606e-81
ENSG00000184557,780.187206031778,-5.66556763816653,0.299363847896156,1.04276682748316e-81,3.1050801077344e-79
ENSG00000174469,628.376621035212,-3.67666960796804,0.194941854353913,1.90651456643417e-81,5.61915987111067e-79
ENSG00000107566,5036.45164927379,-1.7478251580698,0.0922022841632354,3.18973506790664e-81,9.30629370721366e-79
ENSG00000100600,18576.533225412,-2.05187365504441,0.108315323048028,5.17643258990386e-81,1.49516078926783e-78
ENSG00000102962,538.862709504487,-6.02765265413089,0.320682745425655,1.1708400799154e-80,3.34837077903728e-78
ENSG00000135148,6180.12501284116,-2.3757474540395,0.125884106420786,1.29281380722935e-80,3.66094451058948e-78
ENSG00000173821,38622.1746771083,-3.3370186598494,0.178432425496506,5.51236278476562e-80,1.54581637548709e-77
ENSG00000100911,12458.6162680911,-2.46925941941673,0.131754911146588,1.28184704208706e-79,3.56008365035024e-77
ENSG00000173193,17664.3935115564,-3.93268492539732,0.213224589664165,3.98173241009673e-78,1.09531770412604e-75
ENSG00000204264,10188.0205055005,-2.38824357195816,0.128668141690528,4.34663222189813e-78,1.18441627450288e-75
ENSG00000096968,4822.59709807008,-3.14810482907363,0.170844411542724,1.23138861858164e-77,3.32405877187963e-75
ENSG00000164054,6613.91696476789,-1.5919398376409,0.0865073742140534,6.66760697089796e-77,1.78321444210571e-74
ENSG00000113583,2851.51564658233,-1.16188526400543,0.0632407225099153,8.11669742540642e-77,2.15085035261871e-74
ENSG00000115112,2475.61416536389,2.07893504931082,0.11294987643786,1.19859810315116e-76,3.14730069194711e-74
ENSG00000224389,2468.64254947829,-6.25764219022556,0.344740310708279,1.65189870080511e-75,4.29850829495989e-73
ENSG00000176473,619.39550390304,-2.04502361052958,0.112814864781249,2.00779255518138e-74,5.17795358605884e-72
ENSG00000166289,529.973780683157,-2.91700003972008,0.162538451345534,1.17922255976629e-73,3.01421808993713e-71
ENSG00000168610,14734.2170565905,-1.18175790523967,0.0659202949219294,2.55081370689323e-73,6.46295641314947e-71
ENSG00000244731,2160.55845037676,-5.83225471694355,0.327424176190463,8.30524495262452e-73,2.08598865401397e-70
ENSG00000003400,3684.32050913541,-2.51348002495397,0.141157282373848,3.25056649873257e-72,8.09391058184411e-70
ENSG00000205220,3859.12549722655,-2.35661065020502,0.132379118104954,4.74268070967364e-72,1.17083409930097e-69
ENSG00000184564,77.877341927501,4.37242996677375,0.247423834724253,4.88754298588143e-72,1.19637111528982e-69
ENSG00000139117,250.938758103126,-3.35915554685551,0.189937728797327,6.060744380455e-72,1.47108017382405e-69
ENSG00000144118,7839.56313421192,-1.69053268150126,0.0951075141944865,7.75522273157635e-72,1.85725359620683e-69
ENSG00000133313,11157.6515760099,-1.37730975877474,0.0776888791853889,7.78035192982365e-72,1.85725359620683e-69
ENSG00000174243,7618.8655513457,-0.885113154122551,0.0500807209265344,5.71593445691027e-71,1.3532709086344e-68
ENSG00000237807,270.532954750015,-4.82290597821724,0.275673318866159,1.47212228996294e-70,3.45697400189345e-68
ENSG00000223865,1441.22652581275,-7.49979572126088,0.433202364594367,2.05126323439118e-69,4.77811994049635e-67
ENSG00000206337,3693.76699814609,-2.03319607388644,0.116632085481039,4.82302330069553e-69,1.11446564013832e-66
ENSG00000204252,568.666517452733,-8.28797187345801,0.481355717209563,5.9589349815202e-69,1.36601490481134e-66
ENSG00000237988,25333.0406166593,-6.82862305371357,0.397383458956327,3.25100567044672e-68,7.39386203032938e-66
ENSG00000187608,1052.52367916174,-4.63319340769746,0.270125444815068,4.97388964834006e-68,1.12238928595824e-65
ENSG00000123609,1860.73609561058,-2.12582761016052,0.122998754788175,6.08926029082375e-68,1.36342786232677e-65
ENSG00000198502,1352.11188839071,-6.91157749620582,0.403569362990041,8.25903462760118e-68,1.83503043218179e-65
ENSG00000291086,2571.98639634475,-9.57930500328705,0.563357171289549,1.63539311785965e-67,3.60585456612658e-65
ENSG00000259856,307.679130197491,-1.44871170557902,0.0848365980328802,7.79282409626594e-67,1.70521159997383e-64
ENSG00000130707,77768.4542058533,-2.72294172647123,0.159853670041368,1.54777966441592e-66,3.36135848323229e-64
ENSG00000221963,13202.0683092365,-2.34945830683448,0.138519435363249,1.11659521756003e-65,2.40684598985104e-63
ENSG00000182578,81.5832311501532,-3.84030153032659,0.228734899097462,2.06932758374529e-65,4.42744132806659e-63
ENSG00000160710,19290.612562908,-1.26273262992373,0.0748584196075821,2.33794747874142e-65,4.96538786587993e-63
ENSG00000102524,279.345624131643,-4.58450936049696,0.273822237246565,5.06840207685085e-65,1.06858193859679e-62
ENSG00000184979,684.942499687848,-3.18311006119789,0.189856911704419,6.29677113530719e-65,1.3179415758856e-62
ENSG00000112210,424.536248789447,-2.05682476157634,0.122120983190437,1.21013950895027e-64,2.51465248751939e-62
ENSG00000159231,215.558594912911,-4.35201458024385,0.261994127995183,4.04481351561525e-64,8.34502811321649e-62
ENSG00000166710,138520.889964887,-2.0571066023971,0.123722319412418,4.52033320329607e-63,9.25995065560309e-61
ENSG00000078081,1526.35604672254,-4.14969759871858,0.254718862448162,7.55819745725046e-62,1.53740123489593e-59
ENSG00000188313,4621.34708823424,-1.5148684199491,0.0930784992886568,6.1540925705601e-61,1.23440840144485e-58
ENSG00000083799,1553.50754543412,-2.0224477899035,0.123843850670806,6.12273070310555e-61,1.23440840144485e-58
